heating,heating_fan,hotwater,lights,lgappl,vent_fan,misc,electkwh,heatingkwh,hotwaterkwh,Date/Time,PV_generation,Temperature
1.211898,0.041142,0.460279,0.081798,0.267197,0.0,0.226619,0.575614,1.25304,0.460279, 01/04  13:00:00,0.518,-3.842
3.635695,0.041142,0.824825,0.081077,0.102446,0.0,0.226619,0.410142,3.676837,0.824825, 01/04  14:00:00,0.502,-4.917
1.211898,0.041142,0.186418,0.082929,0.118937,0.0,0.221583,0.42344899999999996,1.25304,0.186418, 01/04  15:00:00,0.497,-5.879
0.0,0.041142,0.263825,0.093126,0.09865,0.0,0.231655,0.423431,0.041142,0.263825, 01/04  16:00:00,0.525,-6.465
2.423797,0.041323,2.067465,0.117422,0.173005,0.0,0.241727,0.532154,2.4651199999999998,2.067465, 01/04  17:00:00,0.0,-7.113
7.27139,0.037713,0.403911,0.155244,0.26315,0.025,0.26187,0.705264,7.309103,0.403911, 01/04  18:00:00,0.0,-8.134
4.847593,0.041142,0.0,0.183734,0.21527,0.005,0.266906,0.67091,4.888735,0.0, 01/04  19:00:00,0.0,-9.565
4.847593,0.041142,0.0,0.177507,0.128218,0.0,0.251798,0.557523,4.888735,0.0, 01/04  20:00:00,0.0,-10.944
6.059491,0.041142,0.392325,0.142545,0.08994,0.0,0.236691,0.46917600000000004,6.100633,0.392325, 01/04  21:00:00,0.0,-12.033
4.847593,0.041142,0.759791,0.107641,0.07415,0.0,0.226619,0.40840999999999994,4.888735,0.759791, 01/04  22:00:00,0.0,-12.972
6.059491,0.041142,4.099964,0.094099,0.059063,0.0,0.201439,0.354601,6.100633,4.099964, 01/04  23:00:00,0.0,-13.82
6.059491,0.041142,1.20198,0.045814,0.651403,0.0,0.181295,0.878512,6.100633,1.20198, 01/04  24:00:00,0.0,-14.579
6.059491,0.041142,0.0,0.022749,0.042381,0.0,0.176259,0.241389,6.100633,0.0, 01/05  01:00:00,0.0,-15.192
6.059491,0.041142,0.0,0.013649,0.041584,0.0,0.166187,0.22142,6.100633,0.0, 01/05  02:00:00,0.0,-15.51
7.27139,0.041142,0.0,0.009099,0.036289,0.0,0.161151,0.20653899999999997,7.312532,0.0, 01/05  03:00:00,0.0,-15.603
6.059491,0.041142,0.0,0.009099,0.035492,0.0,0.156115,0.200706,6.100633,0.0, 01/05  04:00:00,0.0,-15.77
4.241644,0.04457,0.0,0.010117,0.039192,0.0,0.161151,0.21045999999999998,4.286214,0.0, 01/05  05:00:00,0.0,-15.949
4.847593,0.041142,0.501568,0.027759,0.045189,0.0,0.166187,0.239135,4.888735,0.501568, 01/05  06:00:00,0.0,-15.969
6.059491,0.037713,0.0,0.065169,0.067773,0.025,0.186331,0.344273,6.0972040000000005,0.0, 01/05  07:00:00,0.0,-16.022
3.635695,0.041142,3.174215,0.08247,0.094854,0.005,0.211511,0.393835,3.676837,3.174215, 01/05  08:00:00,0.232,-16.22
2.423797,0.041142,0.304902,0.087643,0.12613,0.0,0.216547,0.43032,2.4649389999999998,0.304902, 01/05  09:00:00,3.168,-15.846
5.453542,0.04457,0.0,0.09009,0.104647,0.0,0.216547,0.411284,5.498112,0.0, 01/05  10:00:00,6.106,-15.089
3.029746,0.041142,0.0,0.087641,0.094854,0.0,0.216547,0.399042,3.0708879999999996,0.0, 01/05  11:00:00,7.989,-14.374
3.029746,0.041142,0.672726,0.084247,0.2497,0.0,0.221583,0.55553,3.0708879999999996,0.672726, 01/05  12:00:00,7.677,-13.72
3.635695,0.037713,0.0,0.081798,0.118937,0.0,0.226619,0.427354,3.6734080000000002,0.0, 01/05  13:00:00,4.014,-13.33
3.635695,0.041142,0.492023,0.081077,0.184958,0.0,0.226619,0.49265400000000004,3.676837,0.492023, 01/05  14:00:00,4.366,-13.03
2.423797,0.041142,0.0,0.082929,0.118937,0.0,0.221583,0.42344899999999996,2.4649389999999998,0.0, 01/05  15:00:00,1.285,-13.059
3.635695,0.041142,0.0,0.093126,0.09865,0.0,0.231655,0.423431,3.676837,0.0, 01/05  16:00:00,0.328,-13.228
6.059491,0.041142,0.0,0.117422,0.173005,0.0,0.241727,0.532154,6.100633,0.0, 01/05  17:00:00,0.0,-13.424
2.423797,0.041142,0.594977,0.155244,0.391526,0.025,0.26187,0.8336399999999999,2.4649389999999998,0.594977, 01/05  18:00:00,0.0,-13.258
4.847593,0.041142,0.019946,0.183734,0.21527,0.005,0.266906,0.67091,4.888735,0.019946, 01/05  19:00:00,0.0,-12.88
6.059491,0.041142,0.0,0.177507,0.128218,0.0,0.251798,0.557523,6.100633,0.0, 01/05  20:00:00,0.0,-12.415
6.059491,0.041142,0.0,0.142545,0.08994,0.0,0.236691,0.46917600000000004,6.100633,0.0, 01/05  21:00:00,0.0,-11.975
7.27139,0.041142,0.0,0.107641,0.07415,0.0,0.226619,0.40840999999999994,7.312532,0.0, 01/05  22:00:00,0.0,-11.744
7.27139,0.041142,0.0,0.094099,0.059063,0.0,0.201439,0.354601,7.312532,0.0, 01/05  23:00:00,0.0,-11.575
6.059491,0.041142,0.0,0.045814,0.049175,0.0,0.181295,0.27628400000000003,6.100633,0.0, 01/05  24:00:00,0.0,-11.368
3.635695,0.041142,2.133477,0.022749,0.72329,0.0,0.176259,0.9222980000000001,3.676837,2.133477, 01/06  01:00:00,0.0,-11.227
4.847593,0.041142,0.94591,0.013649,0.223461,0.0,0.166187,0.403297,4.888735,0.94591, 01/06  02:00:00,0.0,-11.129
1.211898,0.041142,0.0,0.009099,0.036289,0.0,0.161151,0.20653899999999997,1.25304,0.0, 01/06  03:00:00,0.0,-11.007
3.635695,0.041142,0.0,0.009099,0.035492,0.0,0.156115,0.200706,3.676837,0.0, 01/06  04:00:00,0.0,-10.99
4.847593,0.041142,0.0,0.010117,0.039192,0.0,0.161151,0.21045999999999998,4.888735,0.0, 01/06  05:00:00,0.0,-11.265
4.847593,0.041142,0.0,0.027759,0.045189,0.0,0.166187,0.239135,4.888735,0.0, 01/06  06:00:00,0.0,-11.821
6.059491,0.041142,0.0,0.065169,0.067773,0.025,0.186331,0.344273,6.100633,0.0, 01/06  07:00:00,0.0,-12.501
3.635695,0.041142,0.0,0.08247,0.094854,0.005,0.211511,0.393835,3.676837,0.0, 01/06  08:00:00,0.249,-13.083
3.029746,0.04457,0.414878,0.087643,0.101649,0.0,0.216547,0.405839,3.0743159999999996,0.414878, 01/06  09:00:00,2.594,-12.522
4.847593,0.041142,0.476934,0.09009,0.104647,0.0,0.216547,0.411284,4.888735,0.476934, 01/06  10:00:00,5.122,-11.476
4.241644,0.041142,0.25772,0.087641,0.094854,0.0,0.216547,0.399042,4.282786,0.25772, 01/06  11:00:00,6.934,-10.877
6.665441,0.037713,0.0,0.084247,0.106848,0.0,0.221583,0.412678,6.7031540000000005,0.0, 01/06  12:00:00,8.483,-10.353
6.059491,0.041142,0.784523,0.081798,0.118937,0.0,0.226619,0.427354,6.100633,0.784523, 01/06  13:00:00,8.303,-9.919
6.059491,0.041142,0.0,0.081077,0.102446,0.0,0.226619,0.410142,6.100633,0.0, 01/06  14:00:00,6.348,-9.659
6.059491,0.041142,0.0,0.082929,0.118937,0.0,0.221583,0.42344899999999996,6.100633,0.0, 01/06  15:00:00,2.514,-9.541
6.059491,0.041142,0.0,0.093126,0.09865,0.0,0.231655,0.423431,6.100633,0.0, 01/06  16:00:00,0.547,-9.606
5.453542,0.04457,0.442532,0.117422,0.173005,0.0,0.241727,0.532154,5.498112,0.442532, 01/06  17:00:00,0.0,-9.824
6.059491,0.041142,0.552925,0.155244,0.26315,0.025,0.26187,0.705264,6.100633,0.552925, 01/06  18:00:00,0.0,-10.003
3.635695,0.041142,4.445056,0.183734,0.21527,0.005,0.266906,0.67091,3.676837,4.445056, 01/06  19:00:00,0.0,-10.146
2.423797,0.037713,2.968661,0.177507,0.128218,0.0,0.251798,0.557523,2.46151,2.968661, 01/06  20:00:00,0.0,-10.354
3.635695,0.041142,0.871764,0.142545,0.08994,0.0,0.236691,0.46917600000000004,3.676837,0.871764, 01/06  21:00:00,0.0,-10.6
6.059491,0.041142,1.604678,0.107641,0.07415,0.0,0.226619,0.40840999999999994,6.100633,1.604678, 01/06  22:00:00,0.0,-10.686
4.847593,0.041142,0.0,0.094099,0.059063,0.0,0.201439,0.354601,4.888735,0.0, 01/06  23:00:00,0.0,-10.831
6.059491,0.041142,0.0,0.045814,0.049175,0.0,0.181295,0.27628400000000003,6.100633,0.0, 01/06  24:00:00,0.0,-11.101
6.059491,0.041142,0.0,0.022749,0.042381,0.0,0.176259,0.241389,6.100633,0.0, 01/07  01:00:00,0.0,-11.36
6.059491,0.041142,0.0,0.013649,0.041584,0.0,0.166187,0.22142,6.100633,0.0, 01/07  02:00:00,0.0,-11.955
3.635695,0.041142,0.0,0.009099,0.036289,0.0,0.161151,0.20653899999999997,3.676837,0.0, 01/07  03:00:00,0.0,-12.726
7.27139,0.041142,0.392389,0.009099,0.035492,0.0,0.156115,0.200706,7.312532,0.392389, 01/07  04:00:00,0.0,-13.498
6.059491,0.041142,0.0,0.010117,0.039192,0.0,0.161151,0.21045999999999998,6.100633,0.0, 01/07  05:00:00,0.0,-14.098
