heating,heating_fan,hotwater,lights,lgappl,vent_fan,misc,electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour
3.6356949999999997,0.041142000000000005,0.0,0.08247,0.094854,0.005,0.211511,0.393835,3.6768370000000004,0.0,0.08800000000000001,-0.271,1,4,7
3.6356949999999997,0.041142000000000005,0.0,0.087643,0.101649,0.0,0.216547,0.405839,3.6768370000000004,0.0,0.583,-0.057,1,4,8
1.211898,0.041142000000000005,3.375596,0.09009,0.119332,0.0,0.216547,0.425969,1.25304,3.375596,0.8290000000000001,-0.584,1,4,9
3.6356949999999997,0.041142000000000005,0.0,0.087641,0.15276099999999998,0.0,0.216547,0.456949,3.6768370000000004,0.0,1.247,-1.7530000000000001,1,4,10
0.0,0.041142000000000005,1.3978030000000001,0.084247,0.184806,0.0,0.221583,0.490636,0.041142000000000005,1.3978030000000001,1.143,-2.8289999999999997,1,4,11
1.211898,0.041142000000000005,0.460279,0.081798,0.26719699999999996,0.0,0.22661900000000001,0.5756140000000001,1.25304,0.460279,0.518,-3.842,1,4,12
3.6356949999999997,0.041142000000000005,0.824825,0.081077,0.10244600000000001,0.0,0.22661900000000001,0.410142,3.6768370000000004,0.824825,0.502,-4.917,1,4,13
1.211898,0.041142000000000005,0.186418,0.082929,0.11893699999999999,0.0,0.221583,0.423449,1.25304,0.186418,0.49700000000000005,-5.879,1,4,14
0.0,0.041142000000000005,0.263825,0.093126,0.09865,0.0,0.23165500000000003,0.42343100000000006,0.041142000000000005,0.263825,0.525,-6.465,1,4,15
2.423797,0.041323,2.0674650000000003,0.117422,0.173005,0.0,0.241727,0.532154,2.46512,2.0674650000000003,0.0,-7.1129999999999995,1,4,16
7.271389999999999,0.037712999999999997,0.403911,0.155244,0.26315,0.025,0.26187,0.705264,7.3091029999999995,0.403911,0.0,-8.134,1,4,17
4.847593,0.041142000000000005,0.0,0.18373399999999998,0.21527,0.005,0.266906,0.67091,4.888735,0.0,0.0,-9.565,1,4,18
4.847593,0.041142000000000005,0.0,0.177507,0.128218,0.0,0.251798,0.557523,4.888735,0.0,0.0,-10.944,1,4,19
6.059491,0.041142000000000005,0.392325,0.142545,0.08993999999999999,0.0,0.23669099999999998,0.469176,6.100633,0.392325,0.0,-12.033,1,4,20
4.847593,0.041142000000000005,0.759791,0.10764100000000001,0.07415,0.0,0.22661900000000001,0.40841,4.888735,0.759791,0.0,-12.972000000000001,1,4,21
6.059491,0.041142000000000005,4.099964,0.094099,0.059063,0.0,0.201439,0.354601,6.100633,4.099964,0.0,-13.82,1,4,22
6.059491,0.041142000000000005,1.2019799999999998,0.045814,0.651403,0.0,0.181295,0.8785120000000001,6.100633,1.2019799999999998,0.0,-14.579,1,4,23
6.059491,0.041142000000000005,0.0,0.022749000000000002,0.042381,0.0,0.176259,0.241389,6.100633,0.0,0.0,-15.192,1,5,0
6.059491,0.041142000000000005,0.0,0.013649000000000001,0.041583999999999996,0.0,0.166187,0.22141999999999998,6.100633,0.0,0.0,-15.51,1,5,1
7.271389999999999,0.041142000000000005,0.0,0.009099,0.036289,0.0,0.161151,0.206539,7.312532000000001,0.0,0.0,-15.603,1,5,2
6.059491,0.041142000000000005,0.0,0.009099,0.035492,0.0,0.156115,0.200706,6.100633,0.0,0.0,-15.77,1,5,3
4.241644,0.04457,0.0,0.010117000000000001,0.039192000000000005,0.0,0.161151,0.21046,4.286214,0.0,0.0,-15.949000000000002,1,5,4
4.847593,0.041142000000000005,0.501568,0.027759,0.045189,0.0,0.166187,0.239135,4.888735,0.501568,0.0,-15.969000000000001,1,5,5
6.059491,0.037712999999999997,0.0,0.065169,0.067773,0.025,0.186331,0.344273,6.0972040000000005,0.0,0.0,-16.022000000000002,1,5,6
